MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1004088092448,15.56,0.07,245.51028,-3.17176,53937.26152,0
1004088092448,15.58,0.07,245.51026,-3.17178,53937.26795,0
1004088092448,15.59,0.07,245.51024,-3.17174,53937.27454,0
1004088092448,15.58,0.07,245.51023,-3.17180,53937.28112,0
1004088092448,15.57,0.07,245.51025,-3.17178,53889.38756,0
1004088092448,15.56,0.07,245.51023,-3.17180,53889.39403,0
1004088092448,15.55,0.07,245.51028,-3.17181,53889.40043,0
1004088092448,15.57,0.07,245.51030,-3.17179,53889.40695,0
1004088092448,15.50,0.11,245.51026,-3.17180,53903.34886,0
1004088092448,15.48,0.11,245.51042,-3.17178,53903.34987,0
1004088092448,15.53,0.11,245.51027,-3.17175,53903.35085,0
1004088092448,15.50,0.11,245.51018,-3.17179,53903.35188,0
1004088092448,15.59,0.07,245.51025,-3.17175,53875.35696,0
1004088092448,15.57,0.07,245.51025,-3.17178,53875.36334,0
1004088092448,15.62,0.07,245.51030,-3.17177,53875.36973,0
1004088092448,15.56,0.07,245.51031,-3.17178,53875.37612,0
1004088092448,15.58,0.07,245.51027,-3.17179,53882.29578,0
1004088092448,15.57,0.07,245.51029,-3.17179,53882.30444,0
1004088092448,15.58,0.07,245.51028,-3.17180,53882.31311,0
1004088092448,15.57,0.07,245.51028,-3.17178,53882.32173,0
1004088092448,15.63,0.07,245.51020,-3.17177,53989.12012,0
1004088092448,15.61,0.07,245.51026,-3.17172,53989.12267,0
1004088092448,15.59,0.07,245.51029,-3.17178,53989.12526,0
1004088092448,15.59,0.07,245.51025,-3.17172,53989.12783,0
1004088092448,15.57,0.06,245.51025,-3.17178,54205.39323,0
1004088092448,15.56,0.06,245.51027,-3.17177,54205.39976,0
1004088092448,15.59,0.06,245.51027,-3.17183,54205.40623,0
1004088092448,15.57,0.06,245.51026,-3.17180,54205.41274,0
1004088092448,15.58,0.06,245.51029,-3.17178,54212.41483,0
1004088092448,15.55,0.06,245.51029,-3.17180,54212.42476,0
1004088092448,15.55,0.06,245.51030,-3.17182,54212.43471,0
1004088092448,15.57,0.06,245.51026,-3.17182,54212.44466,0
1004088092448,15.57,0.06,245.51028,-3.17181,54156.48510,0
1004088092448,15.57,0.06,245.51031,-3.17181,54156.49626,0
1004088092448,15.54,0.06,245.51033,-3.17181,54156.50749,0
