MeanMagError,StdevMagError,UpperBoundMagError,Magnitude,Stars in Bin
0.0012992652539221021,0.00011761103584337645,0.0014168762897654786,18.649999999999977,2000
0.0013681220157342818,0.00011657429718719578,0.0014846963129214776,18.749999999999975,2000
0.0014666213491132606,0.00011760013605373028,0.001584221485166991,18.849999999999977,2000
0.0015490386816664232,0.0001221507207154853,0.0016711894023819084,18.949999999999974,2000
0.0016393697016243399,0.0001365339116526963,0.0017759036132770363,19.049999999999976,2000
0.0017561490362932274,0.00014919013992430039,0.0019053391762175278,19.149999999999974,2000
0.0019260481286500202,0.00017072694108493839,0.0020967750697349586,19.249999999999975,2000
0.0020146590734415877,0.00019680893224704936,0.0022114680056886369,19.349999999999973,2000
0.0021435384012921674,0.0002045667895866695,0.0023481051908788371,19.449999999999974,2000
0.0022977119498200876,0.00021967663805457841,0.0025173885878746662,19.549999999999972,2000
