MasterID,Mag,Magerr,RA,Dec,MJD,Blend
3045076050848,16.25,0.18,212.63703,-45.61250,54350.37368,0
3045076050848,16.27,0.12,212.63698,-45.61259,54350.37883,0
3045076050848,16.36,0.13,212.63705,-45.61256,54350.38407,0
3045076050848,16.30,0.10,212.63706,-45.61255,54510.70003,0
3045076050848,16.20,0.10,212.63712,-45.61261,54510.72971,0
3045076050848,16.21,0.10,212.63712,-45.61262,54510.74110,0
3045076050848,16.20,0.10,212.63706,-45.61254,54510.75212,0
3045076050848,16.27,0.09,212.63707,-45.61257,54622.53885,0
3045076050848,16.25,0.09,212.63710,-45.61262,54622.54867,0
3045076050848,16.22,0.09,212.63709,-45.61254,54622.55851,0
3045076050848,16.23,0.09,212.63704,-45.61259,54622.56833,0
3045076050848,16.30,0.09,212.63708,-45.61256,54529.63497,0
3045076050848,16.18,0.09,212.63709,-45.61256,54529.64254,0
3045076050848,16.32,0.09,212.63714,-45.61258,54529.65002,0
3045076050848,16.28,0.09,212.63709,-45.61260,54529.65750,0
3045076050848,16.25,0.10,212.63705,-45.61253,54594.56472,0
3045076050848,16.37,0.11,212.63712,-45.61260,54594.57220,0
3045076050848,16.29,0.10,212.63704,-45.61257,54594.57971,0
3045076050848,16.39,0.11,212.63707,-45.61258,54594.58719,0
3045076050848,16.19,0.09,212.63706,-45.61256,54615.56103,0
3045076050848,16.26,0.09,212.63700,-45.61254,54615.56754,0
3045076050848,16.24,0.09,212.63712,-45.61261,54615.57403,0
3045076050848,16.24,0.09,212.63711,-45.61260,54615.58053,0
3045076050848,16.26,0.09,212.63705,-45.61258,54943.56652,0
3045076050848,16.27,0.09,212.63706,-45.61263,54943.57450,0
3045076050848,16.26,0.09,212.63711,-45.61260,54943.58246,0
3045076050848,16.24,0.09,212.63708,-45.61259,54943.59042,0
3045076050848,16.18,0.08,212.63713,-45.61245,54888.70070,0
3045076050848,16.21,0.08,212.63713,-45.61251,54888.71781,0
3045076050848,16.12,0.07,212.63710,-45.61249,54888.73498,0
3045076050848,16.17,0.08,212.63712,-45.61247,54888.75197,0
3045076050848,16.37,0.10,212.63707,-45.61257,54912.71338,0
3045076050848,16.37,0.10,212.63705,-45.61260,54912.72202,0
3045076050848,16.38,0.10,212.63702,-45.61258,54912.73070,0
3045076050848,16.25,0.09,212.63706,-45.61257,54912.73935,0
3045076050848,16.41,0.12,212.63707,-45.61253,54954.53372,0
3045076050848,16.23,0.11,212.63711,-45.61259,54954.54235,0
